Frame,Object_ID,Class_ID,Class_Name,Confidence_Score,X_Center,Y_Center
0,1,7,truck,0.43,1318.1041,108.116165
0,2,2,car,0.27,1216.2063,600.8169
0,3,2,car,0.27,1318.9092,109.38298
0,4,5,bus,0.25,1216.4426,600.1184
1,1,7,truck,0.31,1327.2192,113.495476
1,2,2,car,0.46,1228.5679,634.809
1,3,2,car,0.58,1328.3704,116.581566
2,2,5,bus,0.44,1242.6068,670.2306
2,3,7,truck,0.38,1337.7832,119.05386
3,2,5,bus,0.36,1259.6302,724.22095
3,3,7,truck,0.36,1344.4467,128.56772
4,2,5,bus,0.37,1275.3354,779.69
4,3,7,truck,0.43,1352.823,144.72522
5,2,7,truck,0.49,1294.3804,807.9295
5,3,7,truck,0.47,1360.2285,154.20262
5,8,2,car,0.46,1360.508,154.28249
6,3,2,car,0.61,1366.4746,168.1166
6,11,0,person,0.36,1841.3679,29.318012
7,3,2,car,0.56,1374.2393,176.24823
7,11,0,person,0.4,1841.5868,28.81045
8,3,2,car,0.46,1381.0315,185.42865
8,11,0,person,0.4,1840.3788,28.858322
9,3,2,car,0.46,1391.1437,195.417
9,11,0,person,0.38,1838.8899,29.062948
10,3,2,car,0.57,1400.4988,207.59724
10,11,0,person,0.35,1838.8018,29.227085
11,3,2,car,0.56,1410.4197,220.37839
11,11,0,person,0.32,1839.0435,28.955118
12,3,2,car,0.49,1420.8807,231.11876
12,11,0,person,0.34,1838.9485,28.743952
13,3,2,car,0.47,1432.8951,244.48425
13,11,0,person,0.35,1838.8247,29.922726
14,3,2,car,0.67,1442.3647,260.5227
14,11,0,person,0.32,1838.3203,30.758455
15,3,2,car,0.49,1454.741,276.7711
15,11,0,person,0.4,1836.6672,32.590485
16,3,2,car,0.59,1469.3645,290.042
16,11,0,person,0.37,1837.5942,32.4904
17,3,2,car,0.65,1482.5876,305.91656
17,11,0,person,0.32,1837.8997,32.72694
18,3,2,car,0.68,1496.8713,323.23773
18,11,0,person,0.36,1837.2408,33.14353
19,3,2,car,0.72,1512.3083,339.32962
19,11,0,person,0.39,1836.2065,32.271168
20,3,2,car,0.7,1530.3799,357.26205
20,11,0,person,0.39,1836.0687,32.004284
21,3,2,car,0.73,1549.4911,379.0258
21,11,0,person,0.4,1836.0098,32.462902
22,3,2,car,0.79,1568.4097,402.23526
22,11,0,person,0.5,1834.6255,32.63743
23,3,2,car,0.8,1590.2,428.08734
23,11,0,person,0.49,1834.8616,32.783665
24,3,2,car,0.78,1616.2893,455.82776
24,11,0,person,0.38,1837.1504,33.409702
25,3,2,car,0.72,1644.3245,484.05875
25,11,0,person,0.31,1838.8785,33.331814
26,3,2,car,0.66,1673.1875,519.6405
26,11,0,person,0.28,1839.5923,34.208866
27,3,6,train,0.69,1703.3401,555.17236
27,11,0,person,0.36,1838.7422,35.10394
28,3,2,car,0.58,1723.4995,594.4944
28,11,0,person,0.4,1834.3301,36.777954
29,3,2,car,0.73,1735.6931,637.418
29,11,0,person,0.38,1830.802,38.416965
30,3,2,car,0.84,1750.0022,684.4841
30,11,0,person,0.37,1830.8779,36.93736
31,3,2,car,0.85,1763.8486,733.3026
31,11,0,person,0.41,1831.191,36.547832
32,3,2,car,0.85,1778.4331,781.7378
32,11,0,person,0.45,1829.9481,37.583023
33,3,2,car,0.86,1795.5779,804.3081
33,11,0,person,0.37,1829.2227,37.57772
34,3,2,car,0.85,1815.6882,836.2903
34,11,0,person,0.45,1830.2395,36.434647
35,3,2,car,0.71,1838.1223,864.7673
35,11,0,person,0.47,1830.4192,36.471813
36,3,2,car,0.69,1863.1223,899.46295
36,11,0,person,0.39,1829.592,35.813858
37,11,0,person,0.45,1829.8684,36.632565
38,11,0,person,0.35,1828.4968,36.592808
39,11,0,person,0.29,1828.2625,36.83994
40,11,0,person,0.34,1829.1179,36.959667
41,11,0,person,0.3,1828.5725,37.040867
42,11,0,person,0.34,1827.6552,37.657906
43,11,0,person,0.44,1828.1929,36.93975
44,11,0,person,0.44,1827.945,36.538902
45,11,0,person,0.41,1825.7446,36.5576
46,11,0,person,0.38,1823.1406,37.215916
47,11,0,person,0.47,1820.9232,40.199642
48,11,0,person,0.55,1821.7915,43.576477
49,11,0,person,0.56,1821.9841,43.734932
50,11,0,person,0.58,1823.3009,43.03277
51,11,0,person,0.6,1824.4183,42.808197
52,11,0,person,0.59,1825.3759,43.120693
53,11,0,person,0.57,1825.871,42.94075
54,11,0,person,0.6,1825.6633,42.457428
55,11,0,person,0.62,1825.9305,42.36419
56,11,0,person,0.58,1825.5798,43.586582
57,11,0,person,0.63,1822.797,45.739243
58,11,0,person,0.64,1824.366,44.555172
59,11,0,person,0.64,1823.0203,45.680252
60,11,0,person,0.63,1822.0386,45.170097
61,11,0,person,0.72,1823.9078,44.82178
62,11,0,person,0.71,1824.7955,44.000954
63,11,0,person,0.73,1824.8618,44.449192
64,11,0,person,0.73,1825.0083,44.61535
65,11,0,person,0.73,1824.1775,44.954594
66,11,0,person,0.71,1824.3798,45.713844
67,11,0,person,0.67,1824.4631,45.38952
67,22,2,car,0.34,1882.8923,58.53454
68,11,0,person,0.67,1825.0657,45.7882
68,22,2,car,0.26,1883.0593,59.41823
69,11,0,person,0.67,1825.1267,45.59387
70,11,0,person,0.64,1825.3987,45.567703
70,22,2,car,0.26,1882.8052,60.12216
71,11,0,person,0.67,1825.2592,46.14285
72,11,0,person,0.62,1826.1522,47.004913
72,22,2,car,0.26,1882.3291,61.694668
73,11,0,person,0.63,1826.0115,47.133205
73,22,2,car,0.29,1882.034,61.444565
74,11,0,person,0.73,1825.2764,48.784912
75,11,0,person,0.7,1824.4873,50.51795
76,11,0,person,0.69,1824.1382,53.284714
77,11,0,person,0.64,1823.8699,59.99107
78,11,0,person,0.74,1823.5798,63.967426
79,11,0,person,0.71,1823.252,65.74753
80,11,0,person,0.68,1823.1736,66.20452
81,11,0,person,0.66,1823.3306,66.747574
82,11,0,person,0.65,1821.634,68.05621
83,11,0,person,0.66,1820.19,70.860405
84,11,0,person,0.66,1822.4784,71.2737
85,11,0,person,0.68,1820.8091,74.11189
86,11,0,person,0.71,1821.5956,77.114365
87,11,0,person,0.67,1822.2896,78.39392
88,11,0,person,0.69,1821.9064,79.94156
89,11,0,person,0.69,1824.0696,80.58822
90,11,0,person,0.61,1823.811,82.37704
91,11,0,person,0.59,1823.6658,85.10919
92,11,0,person,0.65,1823.0944,86.087524
93,11,0,person,0.61,1823.355,86.679886
94,11,0,person,0.59,1825.0132,87.420135
94,22,2,car,0.27,1879.1233,98.73782
95,11,0,person,0.58,1825.633,87.343704
96,11,0,person,0.57,1826.2625,88.84177
97,11,0,person,0.51,1825.6818,91.41614
98,11,0,person,0.3,1825.0703,94.03411
99,11,0,person,0.28,1827.7983,99.70448
100,11,0,person,0.46,1827.2605,102.455376
100,22,0,person,0.29,1883.4237,111.34132
101,11,0,person,0.5,1827.1742,104.057274
102,11,0,person,0.47,1826.3114,104.25501
103,11,0,person,0.61,1826.7341,104.20744
104,11,0,person,0.55,1827.761,106.84631
104,28,2,car,0.42,952.7235,20.569439
105,11,0,person,0.56,1826.8965,107.379944
105,28,2,car,0.4,953.4103,21.206392
105,29,2,car,0.55,166.36363,28.654453
106,11,0,person,0.56,1828.9512,109.54726
106,28,2,car,0.34,952.8964,22.762213
106,29,2,car,0.69,167.06628,28.242727
107,11,0,person,0.53,1829.398,110.15083
107,28,2,car,0.46,952.33057,23.571632
107,29,2,car,0.69,167.17099,28.67348
107,31,2,car,0.57,293.06433,34.15421
108,11,0,person,0.54,1830.8062,110.66399
108,28,2,car,0.36,952.7584,23.794472
108,29,2,car,0.58,167.59836,29.204416
108,31,2,car,0.43,295.48645,35.371346
109,11,0,person,0.52,1830.3538,112.22525
109,28,2,car,0.42,953.12646,24.58845
109,29,2,car,0.55,167.55421,29.781874
109,31,2,car,0.48,301.19482,36.22936
110,11,0,person,0.51,1832.0156,113.07956
110,28,2,car,0.44,952.7866,25.820215
110,29,2,car,0.56,168.03929,30.975906
110,31,2,car,0.44,315.66257,35.90421
110,32,0,person,0.58,1820.949,114.06546
111,11,0,person,0.5,1830.7319,113.127235
111,28,2,car,0.44,953.26807,26.937037
111,29,2,car,0.61,168.92131,31.932407
111,31,2,car,0.39,327.5711,34.74344
111,32,0,person,0.62,1820.6252,114.125725
112,11,0,person,0.31,1831.8911,111.42075
112,28,2,car,0.33,952.92773,28.268742
112,29,2,car,0.62,168.48535,32.08155
112,32,0,person,0.6,1820.7532,113.87285
113,11,0,person,0.43,1833.1238,112.740845
113,28,2,car,0.37,952.0892,29.99143
113,29,2,car,0.64,169.39119,32.50453
113,32,0,person,0.56,1820.0735,114.811646
113,31,2,car,0.39,321.01654,35.933784
114,11,0,person,0.36,1837.4431,113.96842
114,28,2,car,0.3,951.37354,31.020704
114,29,2,car,0.6,170.87744,34.64384
114,32,0,person,0.55,1819.3403,115.75005
115,11,0,person,0.33,1840.43,115.485176
115,29,2,car,0.59,171.03127,34.805
115,32,0,person,0.58,1819.5782,116.784134
116,11,0,person,0.33,1837.9976,118.7713
116,29,2,car,0.58,171.07648,34.56095
116,32,0,person,0.46,1820.668,120.22485
116,28,2,car,0.34,952.4603,35.955433
117,11,0,person,0.29,1839.6543,120.295395
117,29,2,car,0.55,171.02467,34.32747
117,32,0,person,0.43,1820.7485,121.7543
117,28,2,car,0.28,952.8613,38.531563
118,11,0,person,0.28,1840.4423,121.012375
118,29,2,car,0.62,171.16898,36.450188
118,32,0,person,0.37,1821.082,122.3172
118,28,2,car,0.26,952.88,42.261852
118,31,2,car,0.27,336.46448,36.139816
119,11,0,person,0.31,1841.6865,122.59774
119,29,2,car,0.65,173.49051,37.87465
119,31,2,car,0.31,340.21582,36.35916
120,11,0,person,0.32,1841.073,124.14902
120,29,2,car,0.64,173.03271,37.95495
120,31,2,car,0.28,340.6558,37.014576
120,32,0,person,0.32,1820.9902,123.44823
120,28,2,car,0.33,951.2561,48.807312
121,11,0,person,0.28,1840.794,124.924255
121,29,2,car,0.65,172.02692,37.994255
121,31,2,car,0.38,340.08282,38.87723
121,32,0,person,0.28,1820.877,123.92833
121,28,2,car,0.35,950.49084,51.23473
122,11,0,person,0.27,1839.6593,125.67827
122,29,2,car,0.65,172.15799,37.813637
122,31,2,car,0.39,341.49365,39.022854
122,32,0,person,0.34,1819.7579,124.589134
122,28,2,car,0.33,951.14,49.661606
122,50,0,person,0.38,1855.376,121.52443
123,29,2,car,0.64,173.93541,38.54197
123,31,2,car,0.37,345.96442,38.105755
123,32,0,person,0.4,1818.3096,125.80184
123,28,2,car,0.42,950.15173,52.635307
123,50,0,person,0.39,1855.2207,121.47652
123,52,2,car,0.33,1048.0808,52.538467
124,29,2,car,0.64,173.87323,39.81219
124,31,2,car,0.4,349.8047,38.176437
124,32,0,person,0.41,1817.646,126.24334
124,28,2,car,0.44,949.2705,54.567707
124,50,0,person,0.39,1855.7638,121.86696
124,52,2,car,0.57,1048.4424,53.309395
125,29,2,car,0.63,173.67952,40.011673
125,31,2,car,0.31,351.91394,36.975357
125,32,0,person,0.27,1817.4473,126.7871
125,28,2,car,0.57,948.45135,57.07779
125,50,0,person,0.26,1857.2183,122.735214
125,52,2,car,0.37,1048.8625,56.381252
125,53,2,car,0.54,1126.9734,29.61448
126,29,2,car,0.62,173.50632,40.383205
126,32,0,person,0.29,1817.1683,126.67191
126,28,2,car,0.57,948.2623,58.807327
126,52,2,car,0.54,1048.8075,57.02366
126,53,2,car,0.45,1127.8127,31.0898
127,29,2,car,0.65,173.84282,40.88675
127,28,2,car,0.55,946.6446,60.367516
127,52,2,car,0.35,1050.4482,60.317047
127,53,2,car,0.31,1130.1305,36.17627
128,29,2,car,0.66,175.22748,41.186382
128,28,2,car,0.41,946.26904,63.023758
128,52,2,car,0.59,1050.9436,60.29452
128,50,0,person,0.29,1858.1196,121.58417
129,29,2,car,0.61,175.5898,41.653004
129,28,2,car,0.46,946.92456,64.30624
129,52,2,car,0.66,1051.3894,61.53167
129,50,0,person,0.31,1858.3274,121.62985
129,32,0,person,0.27,1816.5518,125.92917
129,53,2,car,0.32,1131.4719,39.93257
130,29,2,car,0.65,175.13454,40.671883
130,28,2,car,0.52,946.25635,65.64566
130,52,2,car,0.64,1052.122,63.69844
130,50,0,person,0.35,1857.7305,123.33372
130,32,0,person,0.32,1816.7498,126.1776
130,53,2,car,0.34,1131.9569,42.64953
131,29,2,car,0.63,175.42992,40.671356
131,28,2,car,0.45,946.9809,66.826996
131,52,2,car,0.7,1052.6968,65.65745
131,50,0,person,0.39,1857.5984,123.86872
131,32,0,person,0.28,1817.5549,126.0759
132,29,2,car,0.59,175.88855,40.20534
132,28,2,car,0.46,946.2676,67.87444
132,52,2,car,0.76,1053.0903,67.818924
132,50,0,person,0.41,1857.3955,124.55202
132,32,0,person,0.4,1817.6965,127.07109
133,29,2,car,0.63,175.5404,40.41611
133,28,2,car,0.42,946.155,67.69766
133,52,2,car,0.77,1053.1552,68.975525
133,50,0,person,0.3,1856.6904,123.82209
134,29,2,car,0.6,175.59239,38.924046
134,28,2,car,0.56,945.2531,67.54853
134,52,2,car,0.77,1052.9323,68.74356
134,50,0,person,0.44,1856.4617,122.67124
134,32,0,person,0.38,1819.0111,125.14365
135,29,2,car,0.61,176.2441,38.355644
135,28,2,car,0.6,944.38904,67.19642
135,52,2,car,0.8,1053.2661,69.25582
135,50,0,person,0.29,1856.6804,123.25592
136,29,2,car,0.65,177.25092,37.82018
136,28,2,car,0.53,943.1331,67.711105
136,52,2,car,0.76,1053.858,68.78426
137,29,2,car,0.64,177.28244,38.447327
137,28,2,car,0.46,942.62915,69.02666
137,52,2,car,0.75,1054.9958,69.37555
137,53,2,car,0.4,1139.0405,46.20626
138,29,2,car,0.53,178.10062,37.244637
138,28,2,car,0.52,942.49817,70.87527
138,52,2,car,0.68,1056.0276,70.366425
138,53,2,car,0.49,1141.8754,45.59635
139,29,2,car,0.46,177.29337,35.854416
139,28,2,car,0.46,942.19543,72.642876
139,52,2,car,0.73,1057.1016,70.69527
139,53,2,car,0.37,1144.1187,44.28874
139,68,0,person,0.33,1825.3428,118.57483
140,29,2,car,0.63,177.2404,37.332767
140,28,2,car,0.56,940.17944,73.70234
140,52,2,car,0.78,1056.0911,71.70088
140,53,2,car,0.33,1144.551,45.55126
140,68,0,person,0.34,1824.5789,118.14248
140,69,2,car,0.37,959.4186,19.895107
141,29,2,car,0.42,178.14876,36.427654
141,28,2,car,0.72,940.9088,74.305695
141,52,2,car,0.71,1057.1343,72.4255
141,53,2,car,0.44,1146.96,46.811974
141,68,0,person,0.5,1825.6671,116.84469
141,69,2,car,0.4,959.5201,20.34103
142,29,2,car,0.44,177.88675,35.961742
142,28,2,car,0.62,939.20764,75.08935
142,52,2,car,0.79,1056.3429,74.05244
142,53,2,car,0.32,1147.9674,49.09048
142,68,0,person,0.48,1825.727,116.67967
142,69,2,car,0.41,959.57666,20.269674
143,29,2,car,0.47,177.9418,36.26642
143,28,2,car,0.71,938.36786,76.706245
143,52,2,car,0.7,1056.6906,77.54788
143,53,2,car,0.41,1148.4692,49.731945
143,68,0,person,0.63,1827.6106,115.831726
143,69,2,car,0.43,958.9336,21.24711
144,29,2,car,0.48,178.44852,35.484184
144,28,2,car,0.63,938.73047,78.08628
144,52,2,car,0.76,1057.6079,79.55841
144,53,2,car,0.52,1149.8572,49.41887
144,68,0,person,0.64,1829.218,115.98001
144,69,2,car,0.43,958.7194,22.982046
144,50,0,person,0.39,1863.1648,119.864105
145,29,2,car,0.47,177.82974,35.574844
145,28,2,car,0.59,937.6159,79.89575
145,52,2,car,0.67,1058.1724,81.52824
145,53,2,car,0.71,1150.6594,49.793236
145,68,0,person,0.63,1829.3511,116.331825
145,69,2,car,0.42,957.64087,24.001898
145,50,0,person,0.34,1862.9851,120.23753
146,29,2,car,0.56,178.36697,35.689358
146,28,2,car,0.47,938.69226,81.31595
146,52,2,car,0.68,1058.3752,82.64246
146,53,2,car,0.64,1151.8484,50.65562
146,68,0,person,0.62,1829.2109,116.639084
146,69,2,car,0.37,957.958,23.818468
146,50,0,person,0.48,1862.5847,119.837875
147,29,2,car,0.57,178.87299,33.80995
147,28,2,car,0.62,937.02905,81.79482
147,52,2,car,0.74,1058.847,83.80719
147,53,2,car,0.27,1153.6489,50.422318
147,68,0,person,0.68,1830.4644,115.865814
147,69,2,car,0.26,959.21423,23.2128
147,50,0,person,0.42,1864.2698,118.42758
148,29,2,car,0.64,176.70718,32.888737
148,28,2,car,0.6,935.2725,81.92648
148,52,2,car,0.6,1057.9382,83.784035
148,53,2,car,0.58,1155.1194,48.833733
148,68,0,person,0.63,1830.4688,114.238434
148,69,2,car,0.46,958.67566,22.477924
149,29,2,car,0.47,177.73479,31.151222
149,28,2,car,0.66,934.4426,83.62634
149,52,2,car,0.67,1058.3481,84.239
149,53,2,car,0.62,1156.7125,49.057343
149,68,0,person,0.55,1830.3542,115.10819
149,69,2,car,0.43,958.8895,22.803638
150,29,2,car,0.42,177.92264,30.569096
150,28,2,car,0.63,933.77234,84.7297
150,52,2,car,0.58,1058.9872,84.87379
150,53,2,car,0.55,1158.4962,49.89543
150,68,0,person,0.55,1829.7219,114.49388
150,69,2,car,0.48,958.04565,23.720087
150,50,0,person,0.32,1863.8063,113.07573
151,29,2,car,0.41,177.54385,30.413187
151,28,2,car,0.64,932.13196,86.36773
151,52,2,car,0.62,1059.3087,85.99715
151,53,2,car,0.48,1159.6694,51.333885
151,68,0,person,0.57,1829.6172,114.14789
151,69,2,car,0.45,956.9595,24.35274
151,50,0,person,0.32,1863.4169,112.85269
152,29,2,car,0.43,177.33559,30.130327
152,28,2,car,0.64,929.9617,88.776505
152,52,2,car,0.66,1061.0857,86.9873
152,53,2,car,0.5,1160.9739,52.263474
152,68,0,person,0.56,1830.4614,113.289
152,69,2,car,0.45,956.48804,24.014585
152,50,0,person,0.29,1863.6362,112.733444
153,29,2,car,0.4,177.14017,30.203777
153,28,2,car,0.7,929.92065,90.6128
153,52,2,car,0.62,1061.9309,88.920456
153,53,2,car,0.41,1162.2666,52.184067
153,68,0,person,0.52,1830.8511,111.60158
153,69,2,car,0.4,956.13995,23.948954
154,29,2,car,0.41,177.35529,29.959702
154,28,2,car,0.69,929.2613,92.98142
154,52,2,car,0.73,1063.2388,90.83234
154,53,2,car,0.28,1162.8201,49.93503
154,68,0,person,0.58,1831.281,110.427124
154,69,2,car,0.34,955.83234,23.651443
155,29,2,car,0.41,178.1222,30.293934
155,28,2,car,0.7,929.9783,94.30932
155,52,2,car,0.75,1063.1713,92.67219
155,53,2,car,0.33,1164.0596,55.002167
155,68,0,person,0.55,1831.0541,111.26805
155,69,2,car,0.46,955.6129,24.641535
155,50,0,person,0.25,1861.3782,110.99815
156,29,2,car,0.42,177.92094,30.20559
156,28,2,car,0.71,928.18,96.16971
156,52,2,car,0.7,1062.5311,94.60849
156,53,2,car,0.46,1164.9485,58.77546
156,68,0,person,0.59,1831.1307,109.829056
156,69,2,car,0.46,955.37354,25.66577
156,50,0,person,0.3,1862.0392,108.872185
157,29,2,car,0.58,178.04266,30.194416
157,28,2,car,0.69,929.8222,97.88294
157,52,2,car,0.72,1063.9878,96.61451
157,53,2,car,0.56,1166.3392,59.600758
157,68,0,person,0.58,1832.0138,108.03833
157,69,2,car,0.46,955.32275,26.162186
158,29,2,car,0.53,178.01364,31.227957
158,28,2,car,0.66,930.16315,96.93459
158,52,2,car,0.75,1063.5283,99.150986
158,53,2,car,0.39,1167.5182,60.568027
158,68,0,person,0.56,1832.7034,106.680244
158,69,2,car,0.45,955.08215,26.860767
159,29,2,car,0.35,178.24509,31.091297
159,28,2,car,0.64,926.8154,101.46042
159,52,2,car,0.69,1061.9275,101.197556
159,53,2,car,0.52,1168.2964,63.451405
159,68,0,person,0.48,1832.6794,105.10993
159,69,2,car,0.57,954.8342,27.283401
160,29,2,car,0.46,178.55301,31.128447
160,28,2,car,0.66,925.88403,103.859245
160,52,2,car,0.81,1063.7817,103.73445
160,68,0,person,0.48,1833.4192,103.829155
160,69,2,car,0.5,954.9094,27.862814
161,29,2,car,0.57,177.25618,30.502008
161,28,2,car,0.67,922.1127,106.35515
161,52,2,car,0.66,1063.6743,106.118355
161,68,0,person,0.48,1833.1901,102.95797
161,69,2,car,0.4,955.06146,28.2873
162,29,2,car,0.57,177.74484,29.697048
162,28,2,car,0.67,922.9015,108.16202
162,52,2,car,0.72,1064.9149,107.72862
162,68,0,person,0.5,1832.9199,103.68674
162,69,2,car,0.45,955.36096,28.38362
162,81,2,car,0.36,1131.3561,17.410526
163,29,2,car,0.57,177.79607,29.555656
163,28,2,car,0.73,921.83813,109.654465
163,52,2,car,0.8,1064.8127,109.513565
163,68,0,person,0.51,1832.5674,102.867195
163,69,2,car,0.55,954.8818,28.453405
163,81,2,car,0.35,1131.8167,17.73283
163,53,2,car,0.34,1175.5774,68.12977
164,29,2,car,0.54,177.90158,29.593695
164,28,2,car,0.72,921.5914,112.71161
164,52,2,car,0.7,1064.7737,112.1709
164,68,0,person,0.5,1832.6646,103.2746
164,69,2,car,0.44,955.42505,29.482885
164,81,2,car,0.3,1133.2251,18.17567
164,53,2,car,0.33,1177.4302,69.78652
165,29,2,car,0.53,177.4401,29.808334
165,28,2,car,0.69,921.73914,115.513504
165,52,2,car,0.76,1065.0486,115.073425
165,68,0,person,0.5,1832.2058,102.3575
165,69,2,car,0.56,954.58997,30.146048
165,81,2,car,0.36,1134.7888,18.480639
165,53,2,car,0.4,1178.3022,71.00405
165,50,0,person,0.28,1859.9092,103.99421
166,29,2,car,0.61,177.33423,29.337715
166,28,2,car,0.76,920.2522,118.357834
166,52,2,car,0.82,1066.2485,117.33802
166,68,0,person,0.52,1832.4998,102.13996
166,69,2,car,0.51,954.6299,30.554731
166,81,2,car,0.33,1135.9636,17.988419
167,29,2,car,0.61,177.4035,29.439726
167,28,2,car,0.77,920.33344,121.37958
167,52,2,car,0.81,1066.6238,120.03315
167,68,0,person,0.45,1832.859,101.34167
167,69,2,car,0.52,954.37976,31.25291
167,81,2,car,0.36,1137.2246,18.60769
168,29,2,car,0.54,178.21109,29.54136
168,28,2,car,0.75,920.57764,123.80021
168,52,2,car,0.74,1066.9292,122.998535
168,68,0,person,0.42,1833.5137,100.994
168,69,2,car,0.5,953.53937,31.980713
168,81,2,car,0.33,1137.866,19.37922
169,29,2,car,0.52,178.47278,29.561323
169,28,2,car,0.62,917.1247,127.026215
169,52,2,car,0.81,1067.3403,125.924934
169,68,0,person,0.46,1834.196,100.35922
169,69,2,car,0.52,953.47534,32.550117
169,81,2,car,0.29,1138.1042,19.94294
169,53,2,car,0.29,1187.887,80.26227
170,29,2,car,0.58,177.41026,29.55433
170,28,2,car,0.58,915.4548,128.94164
170,52,2,car,0.79,1068.5762,128.41843
170,68,0,person,0.48,1834.2461,99.82642
170,69,2,car,0.57,952.93835,33.180676
170,83,0,person,0.35,1840.8611,102.84857
170,53,2,car,0.29,1189.1589,82.80997
171,29,2,car,0.58,178.06264,29.369385
171,28,2,car,0.61,913.5008,134.16438
171,52,2,car,0.78,1069.5221,131.63348
171,68,0,person,0.4,1834.3953,100.186646
171,69,2,car,0.43,953.04663,34.159542
171,53,2,car,0.34,1191.3054,84.75848
171,81,2,car,0.29,1141.1271,21.755398
172,29,2,car,0.57,178.1044,29.554031
172,28,2,car,0.61,913.4396,137.47388
172,52,2,car,0.77,1070.4509,134.32083
172,68,0,person,0.49,1833.7509,100.087585
172,69,2,car,0.49,952.44446,35.243908
172,53,2,car,0.37,1192.1814,86.5531
172,81,2,car,0.33,1141.5996,23.107655
172,83,0,person,0.34,1839.5486,102.1454
173,29,2,car,0.61,178.65381,29.275627
173,28,2,car,0.67,913.6959,139.65826
173,52,2,car,0.78,1071.0658,137.83986
173,68,0,person,0.4,1834.0662,99.80136
173,69,2,car,0.37,952.7964,35.713894
173,53,2,car,0.35,1193.742,88.57913
174,29,2,car,0.65,179.67361,29.105108
174,28,2,car,0.7,910.5549,143.55035
174,52,2,car,0.74,1072.0645,141.7345
